Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.708,5122.5,289.0337506,0.02832,297.2191864,0.027926403,305.5194491,0.027543572
,,0.712,5122.5,289.0337506,0.02848,297.2654318,0.028081984,305.6132349,0.027694915
,,0.716,5115,288.6105679,0.02864,296.8763746,0.028237541,305.2594335,0.027846212
,,0.72,5115,288.6105679,0.0288,296.9225523,0.028393075,305.3530964,0.027997462
,,0.724,5115,288.6105679,0.02896,296.96873,0.028548583,305.4467665,0.028148666
,,0.728,5115,288.6105679,0.02912,297.0149077,0.028704068,305.5404438,0.028299824
,,0.732,5107.5,288.1873853,0.02928,296.6255119,0.028859529,305.1859844,0.028450935
,,0.736,5107.5,288.1873853,0.02944,296.6716219,0.029014965,305.2795386,0.028602
,,0.74,5100,287.7642026,0.0296,296.282023,0.029170377,304.9246814,0.028753019
,,0.744,5100,287.7642026,0.02976,296.3280653,0.029325765,305.0181126,0.028903991
,,0.748,5100,287.7642026,0.02992,296.3741076,0.029481129,305.111551,0.029054917
,,0.752,5100,287.7642026,0.03008,296.4201498,0.029636469,305.2049965,0.029205797
,,0.756,5100,287.7642026,0.03024,296.4661921,0.029791785,305.2984491,0.029356631
,,0.76,5092.5,287.34102,0.0304,296.076187,0.029947076,304.9428032,0.029507419
,,0.764,5085,286.9178373,0.03056,295.6860464,0.030102344,304.5868895,0.02965816
,,0.768,5085,286.9178373,0.03072,295.7319533,0.030257587,304.6800886,0.029808856
,,0.772,5085,286.9178373,0.03088,295.7778601,0.030412806,304.7732949,0.029959505
,,0.776,5077.5,286.4946547,0.03104,295.3874488,0.030568002,304.4168528,0.030110108
,,0.78,5077.5,286.4946547,0.0312,295.4332879,0.030723173,304.5099358,0.030260665
,,0.784,5077.5,286.4946547,0.03136,295.479127,0.03087832,304.603026,0.030411176
,,0.788,5070,286.071472,0.03152,295.0884448,0.031033443,304.2460551,0.030561642
,,0.792,5070,286.071472,0.03168,295.1342163,0.031188541,304.339022,0.030712061
,,0.796,5070,286.071472,0.03184,295.1799877,0.031343616,304.431996,0.030862434
,,0.8,5070,286.071472,0.032,295.2257591,0.031498667,304.524977,0.031012761
,,0.804,5070,286.071472,0.03216,295.2715306,0.031653694,304.6179652,0.031163043
,,0.808,5062.5,285.6482894,0.03232,294.8804421,0.031808697,304.2602046,0.031313278
,,0.812,5062.5,285.6482894,0.03248,294.9261458,0.031963675,304.3530693,0.031463468
,,0.816,5055,285.2251067,0.03264,294.5348542,0.03211863,303.9949102,0.031613612
,,0.82,5055,285.2251067,0.0328,294.5804902,0.032273561,304.0876515,0.03176371
,,0.824,5055,285.2251067,0.03296,294.6261262,0.032428467,304.1803999,0.031913762
